startTime,renormalTime,eventType,eventText,event,status,faultDuration,serialNum
2024-02-01 04:04:33,2024-02-01 06:08:58,WARNING,No AC Connection,W016,CLOSE,2.07,2453530335
2024-02-01 12:07:11,2024-02-01 14:01:38,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
2024-02-01 20:04:51,2024-02-01 20:24:43,WARNING,No AC Connection,W016,CLOSE,0.33,2453530335
2024-02-02 04:07:26,2024-02-02 06:11:48,WARNING,No AC Connection,W016,CLOSE,2.07,2453530335
2024-02-02 12:05:04,2024-02-02 14:04:27,WARNING,No AC Connection,W016,CLOSE,1.99,2453530335
2024-02-02 20:07:40,2024-02-02 22:02:06,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
2024-02-03 20:10:26,2024-02-03 22:09:49,WARNING,No AC Connection,W016,CLOSE,1.99,2453530335
2024-02-04 04:08:02,2024-02-04 06:06:21,WARNING,No AC Connection,W016,CLOSE,1.97,2453530335
2024-02-04 06:06:21,2024-02-04 06:31:15,WARNING,Battery open,W027,CLOSE,0.42,2453530335
2024-02-04 06:06:21,2024-02-04 09:45:23,WARNING,Battery voltage low,W026,CLOSE,3.65,2453530335
2024-02-04 11:09:48,2024-02-04 11:29:41,WARNING,EPS Over load,W028,CLOSE,0.33,2453530335
2024-02-05 02:05:13,2024-02-05 04:04:40,WARNING,No AC Connection,W016,CLOSE,1.99,2453530335
2024-02-05 10:07:46,2024-02-05 12:07:09,WARNING,No AC Connection,W016,CLOSE,1.99,2453530335
2024-02-06 10:45:18,2024-02-06 14:34:09,WARNING,No AC Connection,W016,CLOSE,3.81,2453530335
2024-02-07 11:52:32,2024-02-07 12:00:42,WARNING,No AC Connection,W016,CLOSE,0.14,2453530335
2024-02-07 12:02:49,2024-02-07 12:16:13,WARNING,No AC Connection,W016,CLOSE,0.22,2453530335
2024-02-07 12:16:36,2024-02-07 20:02:39,WARNING,No AC Connection,W016,CLOSE,7.77,2453530335
2024-02-07 13:56:56,2024-02-07 15:04:03,WARNING,Battery voltage low,W026,CLOSE,1.12,2453530335
2024-02-08 02:12:15,2024-02-08 04:06:39,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
2024-02-09 00:19:07,2024-02-09 02:03:37,WARNING,No AC Connection,W016,CLOSE,1.74,2453530335
2024-02-09 08:11:39,2024-02-09 10:06:04,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
2024-02-09 11:18:30,2024-02-09 11:23:26,WARNING,No AC Connection,W016,CLOSE,0.08,2453530335
2024-02-09 16:02:03,2024-02-09 18:01:24,WARNING,No AC Connection,W016,CLOSE,1.99,2453530335
2024-02-10 00:04:29,2024-02-10 02:03:51,WARNING,No AC Connection,W016,CLOSE,1.99,2453530335
2024-02-10 07:42:39,2024-02-10 07:56:58,WARNING,No AC Connection,W016,CLOSE,0.24,2453530335
2024-02-10 07:47:38,2024-02-10 09:58:31,WARNING,Battery voltage low,W026,CLOSE,2.18,2453530335
2024-02-10 08:11:14,2024-02-10 12:07:56,WARNING,No AC Connection,W016,CLOSE,3.95,2453530335
2024-02-10 10:57:14,2024-02-10 12:22:51,WARNING,Battery voltage low,W026,CLOSE,1.43,2453530335
2024-02-10 16:06:43,2024-02-10 20:05:32,WARNING,No AC Connection,W016,CLOSE,3.98,2453530335
2024-02-11 00:09:15,2024-02-11 02:03:42,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
2024-02-11 08:09:38,2024-02-11 10:06:11,WARNING,No AC Connection,W016,CLOSE,1.94,2453530335
2024-02-12 00:06:52,2024-02-12 04:05:37,WARNING,No AC Connection,W016,CLOSE,3.98,2453530335
2024-02-12 08:09:23,2024-02-12 10:13:44,WARNING,No AC Connection,W016,CLOSE,2.07,2453530335
2024-02-12 16:11:56,2024-02-12 18:08:45,WARNING,No AC Connection,W016,CLOSE,1.95,2453530335
2024-02-13 06:10:01,2024-02-13 08:04:27,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
2024-02-13 22:15:11,2024-02-14 00:04:40,WARNING,No AC Connection,W016,CLOSE,1.82,2453530335
2024-02-14 06:07:50,2024-02-14 08:02:17,WARNING,No AC Connection,W016,CLOSE,1.91,2453530335
