date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2024-02-01,1,12.6,12.6,0.0,0.0,0.0,0.0
2024-02-02,2,7.6,13.5,0.0,0.0,0.0,0.0
2024-02-03,3,9.5,9.8,0.0,0.0,0.0,0.0
2024-02-04,4,9.9,18.9,0.0,0.0,0.0,0.0
2024-02-05,5,12.2,11.4,0.0,0.0,0.0,0.0
2024-02-06,6,8.9,10.7,0.0,0.0,0.0,0.0
2024-02-07,7,8.4,11.6,0.0,0.0,0.0,0.0
2024-02-08,8,14.8,13.3,0.0,0.0,0.0,0.0
2024-02-09,9,4.0,12.7,0.0,0.0,0.0,0.0
2024-02-10,10,2.8,9.2,0.0,0.0,0.0,0.0
2024-02-11,11,10.4,9.3,0.0,0.0,0.0,0.0
2024-02-12,12,7.9,9.6,0.0,0.0,0.0,0.0
2024-02-13,13,10.3,11.7,0.0,0.0,0.0,0.0
2024-02-14,14,8.0,16.2,0.0,0.0,0.0,0.0
2024-02-15,15,7.9,12.3,0.0,0.0,0.0,0.0
2024-02-16,16,7.5,9.7,0.0,0.0,0.0,0.0
2024-02-17,17,11.2,10.3,0.0,0.0,0.0,0.0
2024-02-18,18,11.2,8.4,0.0,0.0,0.0,0.0
2024-02-19,19,15.0,7.0,0.0,0.0,0.0,0.0
2024-02-20,20,12.6,10.0,0.0,0.0,0.0,0.0
2024-02-21,21,4.3,23.1,0.0,0.0,0.0,0.0
2024-02-22,22,4.2,12.9,0.0,0.0,0.0,0.0
2024-02-23,23,10.3,7.5,0.0,0.0,0.0,0.0
2024-02-24,24,8.2,10.0,0.0,0.0,0.0,0.0
2024-02-25,25,10.5,8.1,0.0,0.0,0.0,0.0
2024-02-26,26,10.5,7.3,0.0,0.0,0.0,0.0
2024-02-27,27,11.4,5.7,0.0,0.0,0.0,0.0
2024-02-28,28,10.0,8.7,0.0,0.0,0.0,0.0
2024-02-29,29,10.8,7.0,0.0,0.0,0.0,0.0
