date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2026-05-01,1,8.5,0.1,0.0,0.0,0.0,0.0
2026-05-02,2,8.4,0.1,0.0,0.0,0.0,0.0
2026-05-03,3,11.0,0.1,0.0,0.0,0.0,0.0
2026-05-04,4,13.2,0.5,0.0,0.0,0.0,0.0
2026-05-05,5,9.5,5.9,0.0,0.0,0.0,0.0
2026-05-06,6,0.9,14.0,0.0,0.0,0.0,0.0
2026-05-07,7,9.9,5.9,0.0,0.0,0.0,0.0
2026-05-08,8,11.1,6.1,0.0,0.0,0.0,0.0
2026-05-09,9,10.5,4.0,0.0,0.0,0.0,0.0
2026-05-10,10,12.7,3.1,0.0,0.0,0.0,0.0
2026-05-11,11,2.4,5.7,0.0,0.0,0.0,0.0
2026-05-12,12,0.2,0.0,0.0,0.0,0.0,0.0
2026-05-13,13,18.9,1.2,0.0,0.0,0.0,0.0
2026-05-14,14,14.5,4.3,0.0,0.0,0.0,0.0
2026-05-15,15,15.4,2.1,0.0,0.0,0.0,0.0
2026-05-16,16,12.7,0.5,0.0,0.0,0.0,0.0
2026-05-17,17,13.9,0.0,0.0,0.0,0.0,0.0
2026-05-18,18,9.1,9.1,0.0,0.0,0.0,0.0
2026-05-19,19,0.1,7.8,0.0,0.0,0.0,0.0
2026-05-20,20,6.2,5.7,0.0,0.0,0.0,0.0
2026-05-21,21,10.2,7.6,0.0,0.0,0.0,0.0
2026-05-22,22,10.8,6.7,0.0,0.0,0.0,0.0
2026-05-23,23,14.8,2.9,0.0,0.0,0.0,0.0
2026-05-24,24,13.8,2.6,0.0,0.0,0.0,0.0
2026-05-25,25,17.1,2.3,0.0,0.0,0.0,0.0
2026-05-26,26,12.6,3.7,0.0,0.0,0.0,0.0
2026-05-27,27,10.1,0.0,0.0,0.0,0.0,0.0
2026-05-28,28,15.9,0.8,0.0,0.0,0.0,0.0
2026-05-29,29,12.5,3.0,0.0,0.0,0.0,0.0
2026-05-30,30,7.8,0.0,0.0,0.0,0.0,0.0
2026-05-31,31,0.0,0.0,0.0,0.0,0.0,0.0
