date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2024-03-01,1,10.4,11.1,0.0,0.0,0.0,0.0
2024-03-02,2,7.5,10.6,0.0,0.0,0.0,0.0
2024-03-03,3,2.5,12.3,0.0,0.0,0.0,0.0
2024-03-04,4,9.1,9.0,0.0,0.0,0.0,0.0
2024-03-05,5,9.6,7.5,0.0,0.0,0.0,0.0
2024-03-06,6,10.4,4.4,0.0,0.0,0.0,0.0
2024-03-07,7,12.5,12.9,0.0,0.0,0.0,0.0
2024-03-08,8,12.0,12.3,0.0,0.0,0.0,0.0
2024-03-09,9,11.0,11.5,0.0,0.0,0.0,0.0
2024-03-10,10,7.8,12.7,0.0,0.0,0.0,0.0
2024-03-11,11,11.4,12.0,0.0,0.0,0.0,0.0
2024-03-12,12,7.6,15.1,0.0,0.0,0.0,0.0
2024-03-13,13,3.9,13.0,0.0,0.0,0.0,0.0
2024-03-14,14,9.0,10.8,0.0,0.0,0.0,0.0
2024-03-15,15,11.0,10.3,0.0,0.0,0.0,0.0
2024-03-16,16,8.2,13.8,0.0,0.0,0.0,0.0
2024-03-17,17,12.0,9.0,0.0,0.0,0.0,0.0
2024-03-18,18,11.3,9.1,0.0,0.0,0.0,0.0
2024-03-19,19,9.6,9.5,0.0,0.0,0.0,0.0
2024-03-20,20,7.9,15.1,0.0,0.0,0.0,0.0
2024-03-21,21,7.4,14.3,0.0,0.0,0.0,0.0
2024-03-22,22,12.5,5.5,0.0,0.0,0.0,0.0
2024-03-23,23,3.0,14.3,0.0,0.0,0.0,0.0
2024-03-24,24,4.6,17.4,0.0,0.0,0.0,0.0
2024-03-25,25,9.9,11.6,0.0,0.0,0.0,0.0
2024-03-26,26,7.5,12.9,0.0,0.0,0.0,0.0
2024-03-27,27,3.6,18.0,0.0,0.0,0.0,0.0
2024-03-28,28,12.8,11.8,0.0,0.0,0.0,0.0
2024-03-29,29,7.3,11.4,0.0,0.0,0.0,0.0
2024-03-30,30,12.1,7.1,0.0,0.0,0.0,0.0
2024-03-31,31,9.3,9.5,0.0,0.0,0.0,0.0
