startTime,renormalTime,eventType,eventText,event,status,faultDuration,serialNum
2025-03-04 01:43:16,2025-03-04 12:23:39,WARNING,Battery voltage low,W026,CLOSE,10.67,2453530335
2025-03-05 03:07:17,2025-03-06 21:18:07,WARNING,Battery voltage low,W026,CLOSE,42.18,2453530335
2025-03-07 00:53:36,2025-03-07 09:52:56,WARNING,Battery voltage low,W026,CLOSE,8.99,2453530335
2025-03-12 03:06:44,2025-03-12 12:30:32,WARNING,Battery voltage low,W026,CLOSE,9.40,2453530335
2025-03-13 07:03:16,2025-03-14 14:08:24,WARNING,Battery voltage low,W026,CLOSE,31.09,2453530335
2025-03-16 19:58:08,2025-03-17 11:52:08,WARNING,Battery voltage low,W026,CLOSE,15.90,2453530335
2025-03-18 10:21:40,2025-03-18 15:48:07,WARNING,Battery voltage low,W026,CLOSE,5.44,2453530335
2025-03-19 03:08:45,2025-03-19 11:50:13,WARNING,Battery voltage low,W026,CLOSE,8.69,2453530335
2025-03-20 05:55:05,2025-03-20 10:51:40,WARNING,Battery voltage low,W026,CLOSE,4.94,2453530335
2025-03-21 03:06:58,2025-03-21 13:04:09,WARNING,Battery voltage low,W026,CLOSE,9.95,2453530335
2025-03-22 05:15:32,2025-03-22 10:35:58,WARNING,Battery voltage low,W026,CLOSE,5.34,2453530335
2025-03-23 08:02:45,2025-03-23 11:21:31,WARNING,Battery voltage low,W026,CLOSE,3.31,2453530335
2025-03-24 06:48:01,2025-03-24 13:00:13,WARNING,Battery voltage low,W026,CLOSE,6.20,2453530335
2025-03-24 21:38:01,2025-03-25 10:56:00,WARNING,Battery voltage low,W026,CLOSE,13.30,2453530335
2025-03-26 06:53:49,2025-03-26 10:04:52,WARNING,Battery voltage low,W026,CLOSE,3.18,2453530335
2025-03-26 12:18:12,2025-03-26 12:24:10,WARNING,EPS Over load,W028,CLOSE,0.10,2453530335
2025-03-27 03:07:48,2025-03-27 13:59:49,WARNING,Battery voltage low,W026,CLOSE,10.87,2453530335
2025-03-29 05:09:52,2025-03-29 10:54:19,WARNING,Battery voltage low,W026,CLOSE,5.74,2453530335
2025-03-30 16:34:02,2025-03-31 12:18:29,WARNING,Battery voltage low,W026,CLOSE,19.74,2453530335
2025-03-31 23:43:11,2025-04-02 12:22:34,WARNING,Battery voltage low,W026,CLOSE,36.66,2453530335
