date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2025-02-01,1,14.8,1.3,0.0,0.0,0.0,0.0
2025-02-02,2,16.4,4.0,0.0,0.0,0.0,0.0
2025-02-03,3,17.7,7.8,0.0,0.0,0.0,0.0
2025-02-04,4,18.6,8.7,0.0,0.0,0.0,0.0
2025-02-05,5,17.0,8.3,0.0,0.0,0.0,0.0
2025-02-06,6,16.8,3.5,0.0,0.0,0.0,0.0
2025-02-07,7,19.3,0.0,0.0,0.0,0.0,0.0
2025-02-08,8,18.1,4.3,0.0,0.0,0.0,0.0
2025-02-09,9,10.5,3.9,0.0,0.0,0.0,0.0
2025-02-10,10,13.4,5.4,0.0,0.0,0.0,0.0
2025-02-11,11,18.6,0.0,0.0,0.0,0.0,0.0
2025-02-12,12,21.2,0.0,0.0,0.0,0.0,0.0
2025-02-13,13,15.2,2.9,0.0,0.0,0.0,0.0
2025-02-14,14,12.1,4.4,0.0,0.0,0.0,0.0
2025-02-15,15,15.6,0.0,0.0,0.0,0.0,0.0
2025-02-16,16,22.4,0.0,0.0,0.0,0.0,0.0
2025-02-17,17,15.4,6.4,0.0,0.0,0.0,0.0
2025-02-18,18,11.8,6.2,0.0,0.0,0.0,0.0
2025-02-19,19,10.7,2.1,0.0,0.0,0.0,0.0
2025-02-20,20,20.8,0.0,0.0,0.0,0.0,0.0
2025-02-21,21,8.0,6.2,0.0,0.0,0.0,0.0
2025-02-22,22,10.5,5.8,0.0,0.0,0.0,0.0
2025-02-23,23,4.4,5.2,0.0,0.0,0.0,0.0
2025-02-24,24,11.0,11.2,0.0,0.0,0.0,0.0
2025-02-25,25,11.7,12.3,0.0,0.0,0.0,0.0
2025-02-26,26,13.0,5.2,0.0,0.0,0.0,0.0
2025-02-27,27,19.1,0.2,0.0,0.0,0.0,0.0
2025-02-28,28,12.3,3.9,0.0,0.0,0.0,0.0
