date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2025-07-01,1,7.9,15.9,0.0,0.0,0.0,0.0
2025-07-02,2,16.4,11.8,0.0,0.0,0.0,0.0
2025-07-03,3,11.7,9.2,0.0,0.0,0.0,0.0
2025-07-04,4,11.9,7.0,0.0,0.0,0.0,0.0
2025-07-05,5,8.2,14.9,0.0,0.0,0.0,0.0
2025-07-06,6,9.2,16.6,0.0,0.0,0.0,0.0
2025-07-07,7,13.8,14.6,0.0,0.0,0.0,0.0
2025-07-08,8,14.8,11.0,0.0,0.0,0.0,0.0
2025-07-09,9,10.1,14.6,0.0,0.0,0.0,0.0
2025-07-10,10,11.2,12.6,0.0,0.0,0.0,0.0
2025-07-11,11,5.8,7.4,0.0,0.0,0.0,0.0
2025-07-12,12,14.8,10.0,0.0,0.0,0.0,0.0
2025-07-13,13,13.8,4.7,0.0,0.0,0.0,0.0
2025-07-14,14,11.9,3.0,0.0,0.0,0.0,0.0
2025-07-15,15,17.8,0.7,0.0,0.0,0.0,0.0
2025-07-16,16,15.9,2.9,0.0,0.0,0.0,0.0
2025-07-17,17,15.8,1.1,0.0,0.0,0.0,0.0
2025-07-18,18,11.2,2.7,0.0,0.0,0.0,0.0
2025-07-19,19,12.5,0.5,0.0,0.0,0.0,0.0
2025-07-20,20,15.6,2.7,0.0,0.0,0.0,0.0
2025-07-21,21,7.4,16.9,0.0,0.0,0.0,0.0
2025-07-22,22,10.5,4.1,0.0,0.0,0.0,0.0
2025-07-23,23,19.0,3.8,0.0,0.0,0.0,0.0
2025-07-24,24,7.1,9.6,0.0,0.0,0.0,0.0
2025-07-25,25,9.1,4.6,0.0,0.0,0.0,0.0
2025-07-26,26,11.5,5.6,0.0,0.0,0.0,0.0
2025-07-27,27,13.3,4.9,0.0,0.0,0.0,0.0
2025-07-28,28,13.9,1.0,0.0,0.0,0.0,0.0
2025-07-29,29,14.1,0.1,0.0,0.0,0.0,0.0
2025-07-30,30,13.9,7.9,0.0,0.0,0.0,0.0
2025-07-31,31,14.2,12.1,0.0,0.0,0.0,0.0
