date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2025-05-01,1,11.3,8.3,0.0,0.0,0.0,0.0
2025-05-02,2,9.1,10.9,0.0,0.0,0.0,0.0
2025-05-03,3,11.7,4.4,0.0,0.0,0.0,0.0
2025-05-04,4,18.1,0.0,0.0,0.0,0.0,0.0
2025-05-05,5,15.9,0.5,0.0,0.0,0.0,0.0
2025-05-06,6,22.4,0.0,0.0,0.0,0.0,0.0
2025-05-07,7,14.5,7.7,0.0,0.0,0.0,0.0
2025-05-08,8,8.7,4.0,0.0,0.0,0.0,0.0
2025-05-09,9,18.1,2.3,0.0,0.0,0.0,0.0
2025-05-10,10,16.4,7.2,0.0,0.0,0.0,0.0
2025-05-11,11,16.6,6.2,0.0,0.0,0.0,0.0
2025-05-12,12,18.7,11.4,0.0,0.0,0.0,0.0
2025-05-13,13,15.6,1.2,0.0,0.0,0.0,0.0
2025-05-14,14,16.5,4.3,0.0,0.0,0.0,0.0
2025-05-15,15,13.6,8.0,0.0,0.0,0.0,0.0
2025-05-16,16,12.4,4.8,0.0,0.0,0.0,0.0
2025-05-17,17,9.6,3.5,0.0,0.0,0.0,0.0
2025-05-18,18,5.8,10.3,0.0,0.0,0.0,0.0
2025-05-19,19,11.8,8.1,0.0,0.0,0.0,0.0
2025-05-20,20,14.6,8.1,0.0,0.0,0.0,0.0
2025-05-21,21,11.8,9.2,0.0,0.0,0.0,0.0
2025-05-22,22,16.4,7.5,0.0,0.0,0.0,0.0
2025-05-23,23,15.4,5.1,0.0,0.0,0.0,0.0
2025-05-24,24,12.9,3.4,0.0,0.0,0.0,0.0
2025-05-25,25,18.3,1.8,0.0,0.0,0.0,0.0
2025-05-26,26,5.2,16.9,0.0,0.0,0.0,0.0
2025-05-27,27,13.8,14.7,0.0,0.0,0.0,0.0
2025-05-28,28,13.2,4.8,0.0,0.0,0.0,0.0
2025-05-29,29,7.2,3.2,0.0,0.0,0.0,0.0
2025-05-30,30,8.6,0.0,0.0,0.0,0.0,0.0
2025-05-31,31,13.5,0.0,0.0,0.0,0.0,0.0
