startTime,renormalTime,eventType,eventText,event,status,faultDuration,serialNum
2024-09-03 08:30:02,2024-09-03 13:08:01,WARNING,Battery voltage low,W026,CLOSE,4.63,2453530335
2024-09-04 00:44:31,2024-09-04 03:08:47,WARNING,Battery voltage low,W026,CLOSE,2.40,2453530335
2024-09-04 06:47:39,2024-09-04 16:54:35,WARNING,Battery voltage low,W026,CLOSE,10.12,2453530335
2024-09-04 23:22:35,2024-09-05 03:06:27,WARNING,Battery voltage low,W026,CLOSE,3.73,2453530335
2024-09-05 08:08:20,2024-09-05 13:23:57,WARNING,Battery voltage low,W026,CLOSE,5.26,2453530335
2024-09-06 03:33:05,2024-09-06 05:32:26,WARNING,Battery voltage low,W026,CLOSE,1.99,2453530335
2024-09-06 07:31:52,2024-09-06 09:06:23,WARNING,Battery voltage low,W026,CLOSE,1.58,2453530335
2024-09-07 03:10:41,2024-09-07 11:03:16,WARNING,Battery voltage low,W026,CLOSE,7.88,2453530335
2024-09-09 03:08:58,2024-09-09 10:31:44,WARNING,Battery voltage low,W026,CLOSE,7.38,2453530335
2024-09-10 02:51:16,2024-09-10 15:17:29,WARNING,Battery voltage low,W026,CLOSE,12.44,2453530335
2024-09-12 02:42:12,2024-09-13 18:50:09,WARNING,Battery voltage low,W026,CLOSE,40.13,2453530335
2024-09-14 03:09:53,2024-09-14 11:27:23,WARNING,Battery voltage low,W026,CLOSE,8.29,2453530335
2024-09-15 23:17:06,2024-09-16 09:19:06,WARNING,Battery voltage low,W026,CLOSE,10.03,2453530335
2024-09-17 04:09:01,2024-09-17 08:37:43,WARNING,Battery voltage low,W026,CLOSE,4.48,2453530335
2024-09-18 08:10:49,2024-09-18 12:39:30,WARNING,Battery voltage low,W026,CLOSE,4.48,2453530335
2024-09-19 06:04:32,2024-09-19 10:23:17,WARNING,Battery voltage low,W026,CLOSE,4.31,2453530335
2024-09-19 22:55:03,2024-09-20 08:32:11,WARNING,Battery voltage low,W026,CLOSE,9.62,2453530335
2024-09-21 05:45:40,2024-09-21 18:02:33,WARNING,Battery voltage low,W026,CLOSE,12.28,2453530335
2024-09-23 04:17:22,2024-09-25 12:11:13,WARNING,Battery voltage low,W026,CLOSE,55.90,2453530335
2024-09-26 03:06:55,2024-09-26 12:09:16,WARNING,Battery voltage low,W026,CLOSE,9.04,2453530335
2024-09-27 03:09:46,2024-09-27 19:35:25,WARNING,Battery voltage low,W026,CLOSE,16.43,2453530335
2024-09-29 03:10:34,2024-09-30 15:37:27,WARNING,Battery voltage low,W026,CLOSE,36.45,2453530335
